Date : 2025-05-08 03:37:10
Directory : /Users/huyanjie/Documents/fitness_centres/frontend_Vite
Total : 91 files,  48439 codes, 1919 comments, 1595 blanks, all 51953 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
+----------------+------------+------------+------------+------------+------------+
| JavaScript     |         39 |     27,128 |      1,054 |        383 |     28,565 |
| JSON           |          4 |     11,014 |          0 |          3 |     11,017 |
| JavaScript JSX |         36 |      9,660 |        863 |      1,091 |     11,614 |
| Markdown       |          5 |        400 |          0 |         88 |        488 |
| CSS            |          3 |        198 |          2 |         29 |        229 |
| HTML           |          1 |         36 |          0 |          1 |         37 |
| XML            |          2 |          2 |          0 |          0 |          2 |
| Properties     |          1 |          1 |          0 |          0 |          1 |
+----------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                              | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                 |         91 |     48,439 |      1,919 |      1,595 |     51,953 |
| . (Files)                                                                                         |         13 |     11,431 |          3 |         75 |     11,509 |
| .vite                                                                                             |          7 |     24,911 |        545 |         17 |     25,473 |
| .vite/deps                                                                                        |          7 |     24,911 |        545 |         17 |     25,473 |
| cypress                                                                                           |          5 |        411 |         95 |         73 |        579 |
| cypress/e2e                                                                                       |          3 |        369 |         75 |         65 |        509 |
| cypress/support                                                                                   |          2 |         42 |         20 |          8 |         70 |
| docs                                                                                              |          1 |         69 |          0 |         24 |         93 |
| public                                                                                            |          1 |          1 |          0 |          0 |          1 |
| src                                                                                               |         55 |     11,242 |      1,230 |      1,343 |     13,815 |
| src (Files)                                                                                       |          4 |        456 |          0 |         54 |        510 |
| src/assets                                                                                        |          1 |          1 |          0 |          0 |          1 |
| src/components                                                                                    |         10 |      1,932 |        184 |        227 |      2,343 |
| src/components (Files)                                                                            |          7 |      1,492 |        130 |        176 |      1,798 |
| src/components/GoogleMap                                                                          |          1 |        129 |         10 |         18 |        157 |
| src/components/common                                                                             |          1 |         21 |          0 |          2 |         23 |
| src/components/layout                                                                             |          1 |        290 |         44 |         31 |        365 |
| src/hooks                                                                                         |          6 |        210 |         48 |         48 |        306 |
| src/pages                                                                                         |         22 |      7,282 |        662 |        805 |      8,749 |
| src/pages (Files)                                                                                 |          7 |      1,825 |        168 |        246 |      2,239 |
| src/pages/admin                                                                                   |          2 |        587 |         59 |         61 |        707 |
| src/pages/coach                                                                                   |          7 |      2,871 |        255 |        295 |      3,421 |
| src/pages/member                                                                                  |          6 |      1,999 |        180 |        203 |      2,382 |
| src/store                                                                                         |          8 |      1,065 |        199 |        129 |      1,393 |
| src/store (Files)                                                                                 |          3 |        106 |         20 |         16 |        142 |
| src/store/api                                                                                     |          5 |        959 |        179 |        113 |      1,251 |
| src/utils                                                                                         |          4 |        296 |        137 |         80 |        513 |
| tests                                                                                             |          9 |        374 |         46 |         63 |        483 |
| tests (Files)                                                                                     |          2 |         45 |         12 |          8 |         65 |
| tests/components                                                                                  |          2 |         92 |          9 |         17 |        118 |
| tests/mocks                                                                                       |          2 |         83 |         10 |         10 |        103 |
| tests/pages                                                                                       |          1 |         81 |         10 |         15 |        106 |
| tests/store                                                                                       |          2 |         73 |          5 |         13 |         91 |
+---------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+---------------------------------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
| filename                                                                                          | language       | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
| /Users/huyanjie/Documents/fitness_centres/frontend_Vite/.env                                      | Properties     |          1 |          0 |          0 |          1 |
| /Users/huyanjie/Documents/fitness_centres/frontend_Vite/.vite/deps/_metadata.json                 | JSON           |         37 |          0 |          0 |         37 |
| /Users/huyanjie/Documents/fitness_centres/frontend_Vite/.vite/deps/chunk-GFWMZNU4.js              | JavaScript     |      1,812 |         93 |          4 |      1,909 |
| /Users/huyanjie/Documents/fitness_centres/frontend_Vite/.vite/deps/package.json                   | JSON           |          3 |          0 |          1 |          4 |
| /Users/huyanjie/Documents/fitness_centres/frontend_Vite/.vite/deps/react-dom.js                   | JavaScript     |     21,271 |        406 |          5 |     21,682 |
| /Users/huyanjie/Documents/fitness_centres/frontend_Vite/.vite/deps/react.js                       | JavaScript     |          4 |          0 |          1 |          5 |
| /Users/huyanjie/Documents/fitness_centres/frontend_Vite/.vite/deps/react_jsx-dev-runtime.js       | JavaScript     |        886 |         23 |          3 |        912 |
| /Users/huyanjie/Documents/fitness_centres/frontend_Vite/.vite/deps/react_jsx-runtime.js           | JavaScript     |        898 |         23 |          3 |        924 |
| /Users/huyanjie/Documents/fitness_centres/frontend_Vite/API_MIGRATION_README.md                   | Markdown       |         66 |          0 |         20 |         86 |
| /Users/huyanjie/Documents/fitness_centres/frontend_Vite/README.md                                 | Markdown       |          7 |          0 |          6 |         13 |
| /Users/huyanjie/Documents/fitness_centres/frontend_Vite/RTK_QUERY_MIGRATION_GUIDE.md              | Markdown       |        140 |          0 |         38 |        178 |
| /Users/huyanjie/Documents/fitness_centres/frontend_Vite/cypress.config.js                         | JavaScript     |         13 |          3 |          1 |         17 |
| /Users/huyanjie/Documents/fitness_centres/frontend_Vite/cypress/e2e/login.cy.js                   | JavaScript     |        138 |         30 |         31 |        199 |
| /Users/huyanjie/Documents/fitness_centres/frontend_Vite/cypress/e2e/member-dashboard.cy.js        | JavaScript     |        112 |         21 |         16 |        149 |
| /Users/huyanjie/Documents/fitness_centres/frontend_Vite/cypress/e2e/responsive.cy.js              | JavaScript     |        119 |         24 |         18 |        161 |
| /Users/huyanjie/Documents/fitness_centres/frontend_Vite/cypress/support/commands.js               | JavaScript     |         34 |         10 |          6 |         50 |
| /Users/huyanjie/Documents/fitness_centres/frontend_Vite/cypress/support/e2e.js                    | JavaScript     |          8 |         10 |          2 |         20 |
| /Users/huyanjie/Documents/fitness_centres/frontend_Vite/docs/API_MIGRATION_PLAN.md                | Markdown       |         69 |          0 |         24 |         93 |
| /Users/huyanjie/Documents/fitness_centres/frontend_Vite/eslint.config.js                          | JavaScript     |         32 |          0 |          2 |         34 |
| /Users/huyanjie/Documents/fitness_centres/frontend_Vite/index.html                                | HTML           |         36 |          0 |          1 |         37 |
| /Users/huyanjie/Documents/fitness_centres/frontend_Vite/package-lock.json                         | JSON           |     10,909 |          0 |          1 |     10,910 |
| /Users/huyanjie/Documents/fitness_centres/frontend_Vite/package.json                              | JSON           |         65 |          0 |          1 |         66 |
| /Users/huyanjie/Documents/fitness_centres/frontend_Vite/postcss.config.js                         | JavaScript     |          6 |          0 |          0 |          6 |
| /Users/huyanjie/Documents/fitness_centres/frontend_Vite/public/vite.svg                           | XML            |          1 |          0 |          0 |          1 |
| /Users/huyanjie/Documents/fitness_centres/frontend_Vite/src/App.css                               | CSS            |         40 |          0 |          6 |         46 |
| /Users/huyanjie/Documents/fitness_centres/frontend_Vite/src/App.jsx                               | JavaScript JSX |        306 |          0 |         32 |        338 |
| /Users/huyanjie/Documents/fitness_centres/frontend_Vite/src/assets/react.svg                      | XML            |          1 |          0 |          0 |          1 |
| /Users/huyanjie/Documents/fitness_centres/frontend_Vite/src/components/CoachList.jsx              | JavaScript JSX |        916 |         72 |        108 |      1,096 |
| /Users/huyanjie/Documents/fitness_centres/frontend_Vite/src/components/DraggableTag.jsx           | JavaScript JSX |        120 |         16 |         18 |        154 |
| /Users/huyanjie/Documents/fitness_centres/frontend_Vite/src/components/GoogleMap/index.jsx        | JavaScript JSX |        129 |         10 |         18 |        157 |
| /Users/huyanjie/Documents/fitness_centres/frontend_Vite/src/components/ImgLazy.jsx                | JavaScript JSX |         87 |         18 |         13 |        118 |
| /Users/huyanjie/Documents/fitness_centres/frontend_Vite/src/components/ImgWithToken.jsx           | JavaScript JSX |        165 |          7 |         15 |        187 |
| /Users/huyanjie/Documents/fitness_centres/frontend_Vite/src/components/PageTransition.jsx         | JavaScript JSX |         56 |          0 |          7 |         63 |
| /Users/huyanjie/Documents/fitness_centres/frontend_Vite/src/components/TagsContainer.jsx          | JavaScript JSX |        145 |         14 |         14 |        173 |
| /Users/huyanjie/Documents/fitness_centres/frontend_Vite/src/components/common/NoticeModal.jsx     | JavaScript JSX |         21 |          0 |          2 |         23 |
| /Users/huyanjie/Documents/fitness_centres/frontend_Vite/src/components/index.js                   | JavaScript     |          3 |          3 |          1 |          7 |
| /Users/huyanjie/Documents/fitness_centres/frontend_Vite/src/components/layout/CoachSidebar.jsx    | JavaScript JSX |        290 |         44 |         31 |        365 |
| /Users/huyanjie/Documents/fitness_centres/frontend_Vite/src/hooks/index.js                        | JavaScript     |          5 |          3 |          1 |          9 |
| /Users/huyanjie/Documents/fitness_centres/frontend_Vite/src/hooks/useButtonLoading.js             | JavaScript     |         20 |         10 |          6 |         36 |
| /Users/huyanjie/Documents/fitness_centres/frontend_Vite/src/hooks/useCountdown.js                 | JavaScript     |         46 |         11 |         10 |         67 |
| /Users/huyanjie/Documents/fitness_centres/frontend_Vite/src/hooks/useModalState.js                | JavaScript     |         15 |         14 |          6 |         35 |
| /Users/huyanjie/Documents/fitness_centres/frontend_Vite/src/hooks/useReCaptcha.js                 | JavaScript     |         74 |          7 |         17 |         98 |
| /Users/huyanjie/Documents/fitness_centres/frontend_Vite/src/hooks/useTokenizedImage.js            | JavaScript     |         50 |          3 |          8 |         61 |
| /Users/huyanjie/Documents/fitness_centres/frontend_Vite/src/index.css                             | CSS            |         66 |          0 |         10 |         76 |
| /Users/huyanjie/Documents/fitness_centres/frontend_Vite/src/main.jsx                              | JavaScript JSX |         44 |          0 |          6 |         50 |
| /Users/huyanjie/Documents/fitness_centres/frontend_Vite/src/pages/CompleteProfile.jsx             | JavaScript JSX |        192 |         14 |         27 |        233 |
| /Users/huyanjie/Documents/fitness_centres/frontend_Vite/src/pages/LandingPage.css                 | CSS            |         92 |          2 |         13 |        107 |
| /Users/huyanjie/Documents/fitness_centres/frontend_Vite/src/pages/LandingPage.jsx                 | JavaScript JSX |        160 |          1 |         13 |        174 |
| /Users/huyanjie/Documents/fitness_centres/frontend_Vite/src/pages/LinkGoogleAccount.jsx           | JavaScript JSX |        107 |         12 |         21 |        140 |
| /Users/huyanjie/Documents/fitness_centres/frontend_Vite/src/pages/Login.jsx                       | JavaScript JSX |        381 |         49 |         59 |        489 |
| /Users/huyanjie/Documents/fitness_centres/frontend_Vite/src/pages/Register.jsx                    | JavaScript JSX |        439 |         27 |         38 |        504 |
| /Users/huyanjie/Documents/fitness_centres/frontend_Vite/src/pages/VerifyCode.jsx                  | JavaScript JSX |        454 |         63 |         75 |        592 |
| /Users/huyanjie/Documents/fitness_centres/frontend_Vite/src/pages/admin/Dashboard.jsx             | JavaScript JSX |        149 |         11 |         10 |        170 |
| /Users/huyanjie/Documents/fitness_centres/frontend_Vite/src/pages/admin/UserManagement.jsx        | JavaScript JSX |        438 |         48 |         51 |        537 |
| /Users/huyanjie/Documents/fitness_centres/frontend_Vite/src/pages/coach/Availability.jsx          | JavaScript JSX |        417 |         24 |         39 |        480 |
| /Users/huyanjie/Documents/fitness_centres/frontend_Vite/src/pages/coach/CoachSchedule.jsx         | JavaScript JSX |        275 |         27 |         29 |        331 |
| /Users/huyanjie/Documents/fitness_centres/frontend_Vite/src/pages/coach/Dashboard.jsx             | JavaScript JSX |        316 |         20 |         22 |        358 |
| /Users/huyanjie/Documents/fitness_centres/frontend_Vite/src/pages/coach/Details.jsx               | JavaScript JSX |        881 |         71 |         84 |      1,036 |
| /Users/huyanjie/Documents/fitness_centres/frontend_Vite/src/pages/coach/SessionRequests.jsx       | JavaScript JSX |        394 |         38 |         45 |        477 |
| /Users/huyanjie/Documents/fitness_centres/frontend_Vite/src/pages/coach/SubscriptionRequests.jsx  | JavaScript JSX |        380 |         48 |         51 |        479 |
| /Users/huyanjie/Documents/fitness_centres/frontend_Vite/src/pages/coach/UnrecordedSessions.jsx    | JavaScript JSX |        208 |         27 |         25 |        260 |
| /Users/huyanjie/Documents/fitness_centres/frontend_Vite/src/pages/member/BookingSession.jsx       | JavaScript JSX |        506 |         37 |         47 |        590 |
| /Users/huyanjie/Documents/fitness_centres/frontend_Vite/src/pages/member/Dashboard.jsx            | JavaScript JSX |        368 |         19 |         29 |        416 |
| /Users/huyanjie/Documents/fitness_centres/frontend_Vite/src/pages/member/MemberSchedule.jsx       | JavaScript JSX |        356 |         42 |         37 |        435 |
| /Users/huyanjie/Documents/fitness_centres/frontend_Vite/src/pages/member/SessionRequests.jsx      | JavaScript JSX |        318 |         31 |         37 |        386 |
| /Users/huyanjie/Documents/fitness_centres/frontend_Vite/src/pages/member/SubscriptionRequests.jsx | JavaScript JSX |        239 |         31 |         31 |        301 |
| /Users/huyanjie/Documents/fitness_centres/frontend_Vite/src/pages/member/TrainingHistory.jsx      | JavaScript JSX |        212 |         20 |         22 |        254 |
| /Users/huyanjie/Documents/fitness_centres/frontend_Vite/src/store/api/authApi.js                  | JavaScript     |        134 |         16 |         11 |        161 |
| /Users/huyanjie/Documents/fitness_centres/frontend_Vite/src/store/api/baseApi.js                  | JavaScript     |         86 |         26 |         19 |        131 |
| /Users/huyanjie/Documents/fitness_centres/frontend_Vite/src/store/api/coachApi.js                 | JavaScript     |        375 |         54 |         42 |        471 |
| /Users/huyanjie/Documents/fitness_centres/frontend_Vite/src/store/api/memberApi.js                | JavaScript     |        247 |         57 |         26 |        330 |
| /Users/huyanjie/Documents/fitness_centres/frontend_Vite/src/store/api/userApi.js                  | JavaScript     |        117 |         26 |         15 |        158 |
| /Users/huyanjie/Documents/fitness_centres/frontend_Vite/src/store/authSlice.js                    | JavaScript     |         67 |         10 |         10 |         87 |
| /Users/huyanjie/Documents/fitness_centres/frontend_Vite/src/store/index.js                        | JavaScript     |         25 |          5 |          4 |         34 |
| /Users/huyanjie/Documents/fitness_centres/frontend_Vite/src/store/navSlice.js                     | JavaScript     |         14 |          5 |          2 |         21 |
| /Users/huyanjie/Documents/fitness_centres/frontend_Vite/src/utils/authUtils.js                    | JavaScript     |         78 |         32 |         20 |        130 |
| /Users/huyanjie/Documents/fitness_centres/frontend_Vite/src/utils/debugTools.js                   | JavaScript     |        106 |         32 |         29 |        167 |
| /Users/huyanjie/Documents/fitness_centres/frontend_Vite/src/utils/imageUtils.js                   | JavaScript     |         49 |         37 |         14 |        100 |
| /Users/huyanjie/Documents/fitness_centres/frontend_Vite/src/utils/routeUtils.js                   | JavaScript     |         63 |         36 |         17 |        116 |
| /Users/huyanjie/Documents/fitness_centres/frontend_Vite/tailwind.config.js                        | JavaScript     |         13 |          0 |          1 |         14 |
| /Users/huyanjie/Documents/fitness_centres/frontend_Vite/tests/App.test.jsx                        | JavaScript JSX |         18 |          3 |          3 |         24 |
| /Users/huyanjie/Documents/fitness_centres/frontend_Vite/tests/components/DraggableTag.test.jsx    | JavaScript JSX |         52 |          6 |         11 |         69 |
| /Users/huyanjie/Documents/fitness_centres/frontend_Vite/tests/components/TagsContainer.test.jsx   | JavaScript JSX |         40 |          3 |          6 |         49 |
| /Users/huyanjie/Documents/fitness_centres/frontend_Vite/tests/mocks/handlers.js                   | JavaScript     |         79 |          8 |          8 |         95 |
| /Users/huyanjie/Documents/fitness_centres/frontend_Vite/tests/mocks/server.js                     | JavaScript     |          4 |          2 |          2 |          8 |
| /Users/huyanjie/Documents/fitness_centres/frontend_Vite/tests/pages/Login.test.jsx                | JavaScript JSX |         81 |         10 |         15 |        106 |
| /Users/huyanjie/Documents/fitness_centres/frontend_Vite/tests/setupTests.js                       | JavaScript     |         27 |          9 |          5 |         41 |
| /Users/huyanjie/Documents/fitness_centres/frontend_Vite/tests/store/authSlice.test.js             | JavaScript     |         62 |          5 |         11 |         78 |
| /Users/huyanjie/Documents/fitness_centres/frontend_Vite/tests/store/navSlice.test.js              | JavaScript     |         11 |          0 |          2 |         13 |
| /Users/huyanjie/Documents/fitness_centres/frontend_Vite/vite.config.js                            | JavaScript     |         25 |          0 |          4 |         29 |
| /Users/huyanjie/Documents/fitness_centres/frontend_Vite/健身中心前端项目规范.md                             | Markdown       |        118 |          0 |          0 |        118 |
| Total                                                                                             |                |     48,439 |      1,919 |      1,595 |     51,953 |
+---------------------------------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
